CNAE,SIC Code,Description
25.2,3412,"Metal Shipping Barrels, Drums, Kegs & Pails"
26.2,3420,"Cutlery, Handtools & General Hardware"
35.3,3430,"Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures"
27.1,3433,"Heating Equipment, Except Electric & Warm Air Furnaces"
25.9,3440,Fabricated Structural Metal Products
25.1,3442,"Metal Doors, Sash, Frames, Moldings & Trim"
25.1,3443,Fabricated Plate Work (Boiler Shops)
25.1,3444,Sheet Metal Work
25.1,3448,Prefabricated Metal Buildings & Components
33.2,3451,Screw Machine Products
25.4,3452,"Bolts, Nuts, Screws, Rivets & Washers"
25.3,3460,Metal Forgings & Stampings
43.9,3470,"Coating, Engraving & Allied Services"
25.5,3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)"
25.9,3490,Miscellaneous Fabricated Metal Products
28.1,3510,Engines & Turbines
28.3,3523,Farm Machinery & Equipment
1.2,3524,Lawn & Garden Tractors & Home Lawn & Gardens Equip
28.5,3530,"Construction, Mining & Materials Handling Machinery & Equip"
28.2,3531,Construction Machinery & Equip
28.5,3532,Mining Machinery & Equip (No Oil & Gas Field Mach & Equip)
19.2,3533,Oil & Gas Field Machinery & Equipment
29.2,3537,"Industrial Trucks, Tractors, Trailers & Stackers"
28.2,3540,Metalworkg Machinery & Equipment
25.4,3541,"Machine Tools, Metal Cutting Types"
28.2,3550,Special Industry Machinery (No Metalworking Machinery)
18.1,3555,Printing Trades Machinery & Equipment
28.2,3559,"Special Industry Machinery, NEC"
28.2,3560,General Industrial Machinery & Equipment
27.1,3561,Pumps & Pumping Equipment
93.1,3562,Ball & Roller Bearings
30.4,3564,Industrial & Commercial Fans & Blowers & Air Purifying Equip
28.4,3567,Industrial Process Furnaces & Ovens
28.2,3569,"General Industrial Machinery & Equipment, NEC"
26.2,3570,Computer & office Equipment
26.2,3571,Electronic Computers
26.2,3572,Computer Storage Devices
26.2,3575,Computer Terminals
26.3,3576,Computer Communications Equipment
26.2,3577,"Computer Peripheral Equipment, NEC"
26.2,3578,Calculating & Accounting Machines (No Electronic Computers)
33.2,3579,"Office Machines, NEC"
28.3,3580,Refrigeration & Service Industry Machinery
35.3,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip
28.6,3590,Misc Industrial & Commercial Machinery & Equipment
27.9,3600,Electronic & Other Electrical Equipment (No Computer Equip)
27.3,3612,"Power, Distribution & Specialty Transformers"
27.1,3613,Switchgear & Switchboard Apparatus
27.5,3620,Electrical Industrial Apparatus
27.1,3621,Motors & Generators
97.0,3630,Household Appliances
27.3,3634,Electric Housewares & Fans
27.4,3640,Electric Lighting & Wiring Equipment
26.4,3651,Household Audio & Video Equipment
59.2,3652,Phonograph Records & Prerecorded Audio Tapes & Disks
61.1,3661,Telephone & Telegraph Apparatus
